Κυνικός	doglike
gestaþelod	past,participle,esta,olian
multiplicatio	calculation,involving,multiplication
abba	french,abbot,the,male,head,abbey
germanus	germanic
abbacina	blinding
abomina	abominating
abstraction	separation
acanthocarpous	acanthocarpous
acula	acorn
apologa	rejecting
appende	hanging,suspending
armarium	monastery,librarian
arquatus	curlew
arrideo	pleasing
assentator	having,flattered
asservaturus	observed
aversor	rear
birota	two,wheeled
blattea	purple,colored
cachinnatis	jeering
candefacturus	incandesced
canescent	whitening
carnarium	flesh
carpe	plucking
catenatus	padlock
certatis	wrestled
cinnamomeus	cinnamon
circumductus	period
commentatio	committal
comminutus	polluted
communicant	participating
compellens	appealing
conbusturus	burnt
condensa	condensing,compressing
congeries	collecting
constitutus	arrangement,agreement
consule	consulting
contemerans	moderating
continge	contacting
contuiturus	having,surveyed
cribrans	sifted
degenera	degenerating,deteriorating
diditurus	distributed
diducturus	divided
dilacera	tearing,apart
discriminator	determined
dissideo	disagreeing
emens	having,traversed
emulsurus	exhausted
exossatus	deboning
expiaturus	expiated
exsulaturus	exiled
exuberatus	abounding
flavovirens	yellow,green
foculum	brazier
fulguraturus	glittered
gymnasium	gymnastic
haereseus	heretical
haereticalis	heretical
imperfect	unfinished,incomplete
incepto	enterprise,undertaking
incommodum	troublesome,disagreeable
intricans	entangled
invocatus	summoner,evoker
lacessiturus	excited
mulsum	stroked,touched
murra	muzzle
musa	idly,wait
negotiatio	business
nigritus	blackness
nutricia	nurse
odoro	odorous
opulentia	wealth
pectinans	combed
penetralis	penetrable
perorans	harangued
portentum	predicted,foretold
propositus	purpose,intention
puteus	rotting
quinquiplico	quintuple,fivefold
rarefactus	rarefying
refragans	having,opposed
reprehendo	refutation
responso	refutation
reverbero	rebounding
sartus	mender
sponsalis	marriage,ceremony
stipulans	having,stipulated
struo	heap,pile
temptans	tried,tested
tenus	clinging
triangulus	three,cornered
vaniloquus	idle,talk
abusus	who,misuses
actinopetalus	having,radiating,leaves
adversaria	antagonist,adversary,female
altercaturus	having,argued,with
aspecta	observing,watching,regarding
balat	bleat,bleating
bracia	brew,beer
coaedificans	built,with,others
confugio	refuge,sanctuary,shelter
construe	constructing,building,erecting
stænen	stony,ground
margaritatus	pearl
impensus	expense,outlay,cost
gegangenne	past,participle,egangan
yfelwillendnes	malicious,malevolent
curati	administration,office,public
dispone	disposing,distributing,arranging
diplomaticus	dipl
infitiatus	denying,contradicting,disowning
geondscinan	past,participle,eondsc,nan
ignis	ardent,fervid,vehement
benedicimus	first,person,plural,perfect,active,indicative,bened
